日期,代码,名称,方向,数量,价格,金额,手续费
2023-11-21,600519,贵州茅台,买入,200,1640.08,328015.52,328.84
2023-11-21,601156,东航物流,买入,23200,11.54,267737.81,268.41
2023-11-21,603444,吉比特,买入,1000,260.02,260018.49,260.67
2023-11-21,300979,华利集团,买入,4800,43.78,210164.74,210.69
2023-11-21,603195,公牛集团,买入,4700,45.55,214073.99,214.61
2023-11-21,300003,乐普医疗,买入,10900,16.38,178534.17,178.98
2023-11-21,000333,美的集团,买入,3000,47.78,143346.98,143.71
2023-11-21,000651,格力电器,买入,3100,28.37,87961.09,88.18
2023-11-21,000858,五粮液,买入,600,139.55,83732.64,83.94
2023-11-22,600519,贵州茅台,买入,200,1639.97,327993.45,328.81
2023-11-22,601156,东航物流,买入,23200,11.48,266407.98,267.07
2023-11-22,603444,吉比特,买入,1000,255.0,255001.33,255.64
2023-11-22,300979,华利集团,买入,4800,43.64,209455.47,209.98
2023-11-22,603195,公牛集团,买入,4700,45.43,213506.32,214.04
2023-11-22,600566,济川药业,买入,6700,26.55,177884.41,178.33
2023-11-22,300003,乐普医疗,买入,10900,16.25,177091.05,177.53
2023-11-22,000333,美的集团,买入,3000,47.63,142883.87,143.24
2023-11-22,000651,格力电器,买入,3100,28.31,87746.94,87.97
2023-11-22,000858,五粮液,买入,600,138.83,83300.47,83.51
2023-11-23,600519,贵州茅台,买入,200,1635.37,327073.83,327.89
2023-11-23,601156,东航物流,买入,23200,11.4,264413.25,265.07
2023-11-23,603444,吉比特,买入,1000,252.25,252251.19,252.88
2023-11-23,300979,华利集团,买入,4800,42.85,205687.49,206.2
2023-11-23,603195,公牛集团,买入,4700,45.11,211999.84,212.53
2023-11-23,600566,济川药业,买入,6700,27.11,181662.8,182.12
2023-11-23,300003,乐普医疗,买入,10900,15.93,173689.42,174.12
2023-11-23,000333,美的集团,买入,3000,47.36,142066.61,142.42
2023-11-23,000651,格力电器,买入,3100,28.28,87666.63,87.89
2023-11-23,000858,五粮液,买入,600,137.75,82652.22,82.86
2023-11-24,600519,贵州茅台,买入,200,1645.21,329041.83,329.86
2023-11-24,601156,东航物流,买入,23200,11.44,265299.8,265.96
2023-11-24,603444,吉比特,买入,1000,252.56,252557.8,253.19
2023-11-24,300979,华利集团,买入,4800,43.23,207504.99,208.02
2023-11-24,603195,公牛集团,买入,4700,45.39,213309.83,213.84
2023-11-24,600566,济川药业,买入,6700,27.35,183222.14,183.68
2023-11-24,300003,乐普医疗,买入,10900,16.21,176678.73,177.12
2023-11-24,000333,美的集团,买入,3000,47.95,143837.34,144.2
2023-11-24,000651,格力电器,买入,3100,28.46,88228.77,88.45
2023-11-24,000858,五粮液,买入,600,137.66,82598.2,82.8
2023-11-27,600519,贵州茅台,买入,200,1630.77,326154.2,326.97
2023-11-27,601156,东航物流,买入,23200,11.4,264413.25,265.07
2023-11-27,603444,吉比特,买入,1000,246.96,246955.31,247.57
2023-11-27,300979,华利集团,买入,4800,42.94,206130.78,206.65
2023-11-27,603195,公牛集团,买入,4700,44.85,210777.18,211.3
2023-11-27,300003,乐普医疗,买入,10900,16.17,176266.41,176.71
